probe_cc,test_type,measurement_date,probe_asn,url_category,measurement_outcome,dns_mismatch_score,http_body_length_diff,tcp_connect_ms,resolver_match,header_mismatch
NG,web_connectivity,2023-01-24 08:18:03.096619,AS52615,COMT,ok,0.3251,0.1079,20.78,1,0
CN,tcp_connect,2023-01-24 12:40:28.325665,AS47656,POLR,confirmed,0.8824,0.0516,5.0,1,1
IR,web_connectivity,2023-01-24 17:02:53.554710,AS8640,NEWS,confirmed,0.2904,0.0469,43.29,0,1
RU,vanilla_tor,2023-01-24 21:25:18.783756,AS4099,LGBT,ok,0.1635,0.3251,,1,0
RU,web_connectivity,2023-01-25 01:47:44.012802,AS4263,HUMR,ok,0.0216,0.0694,202.85,1,0
VN,web_connectivity,2023-01-25 06:10:09.241848,AS58945,REL,ok,0.0846,0.9735,55.54,1,0
AZ,dns_consistency,2023-01-25 10:32:34.470894,AS55961,LGBT,anomaly,0.4087,1.6795,76.89,0,0
IR,web_connectivity,2023-01-25 14:54:59.699939,AS8947,REL,failure,0.8535,0.5958,23.55,1,1
IN,web_connectivity,2023-01-25 19:17:24.928985,AS35011,COMM,ok,0.0942,0.8065,112.94,1,0
TR,telegram,2023-01-25 23:39:50.158031,AS19698,COMM,ok,0.0505,0.1881,26.96,1,0
NG,web_connectivity,2023-01-26 04:02:15.387077,AS1588,NEWS,ok,0.1218,0.3159,10.54,1,0
IR,dns_consistency,2023-01-26 08:24:40.616123,AS23227,HUMR,failure,0.7837,1.2183,255.43,0,1
ID,web_connectivity,2023-01-26 12:47:05.845169,AS55374,COMM,ok,0.1087,0.035,,1,0
EG,web_connectivity,2023-01-26 17:09:31.074214,AS15631,ANON,anomaly,0.4861,0.3194,88.53,0,1
ID,web_connectivity,2023-01-26 21:31:56.303260,AS41085,COMM,ok,0.0205,1.2994,156.52,1,0
CN,web_connectivity,2023-01-27 01:54:21.532306,AS8640,POLR,confirmed,0.6089,0.1669,26.15,1,1
BR,web_connectivity,2023-01-27 06:16:46.761352,AS25294,COMT,ok,0.1431,1.3159,68.99,1,0
EG,vanilla_tor,2023-01-27 10:39:11.990398,AS15631,LGBT,ok,0.1333,1.8457,234.96,1,0
EG,http_header_field_manipulation,2023-01-27 15:01:37.219443,AS22453,COMT,confirmed,0.5136,0.7336,79.44,0,1
RU,tcp_connect,2023-01-27 19:24:02.448489,AS54883,SRCH,anomaly,0.4143,0.4774,50.36,1,1
FR,web_connectivity,2023-01-27 23:46:27.677535,AS47656,REL,ok,,0.1789,36.52,1,1
UZ,web_connectivity,2023-01-28 04:08:52.906581,AS6146,SRCH,ok,0.3493,1.3799,82.01,1,1
IR,http_header_field_manipulation,2023-01-28 08:31:18.135627,AS7926,LGBT,ok,0.1044,0.0301,,1,0
US,tcp_connect,2023-01-28 12:53:43.364672,AS35044,POLR,confirmed,0.2688,0.0174,58.82,0,0
TR,web_connectivity,2023-01-28 17:16:08.593718,AS41085,LGBT,ok,0.5215,0.8431,24.26,1,0
AZ,web_connectivity,2023-01-28 21:38:33.822764,AS25983,COMM,anomaly,0.8792,0.5795,28.02,1,1
VN,web_connectivity,2023-01-29 02:00:59.051810,AS52965,COMT,ok,0.0319,0.9479,5.0,1,0
CN,web_connectivity,2023-01-29 06:23:24.280856,AS46987,HUMR,ok,0.0773,0.1606,77.84,0,0
RU,tcp_connect,2023-01-29 10:45:49.509901,AS50319,REL,confirmed,0.3907,1.3096,5.0,0,1
TR,web_connectivity,2023-01-29 15:08:14.738947,AS48048,COMM,confirmed,0.7892,0.1509,81.61,0,0
RU,web_connectivity,2023-01-29 19:30:39.967993,AS2182,COMM,ok,0.3295,0.3641,399.29,1,0
IR,http_header_field_manipulation,2023-01-29 23:53:05.197039,AS42772,ECON,ok,0.1007,0.8809,94.14,1,0
NG,web_connectivity,2023-01-30 04:15:30.426085,AS1588,LGBT,ok,0.3047,1.2013,174.93,1,0
PK,tcp_connect,2023-01-30 08:37:55.655131,AS47656,COMM,ok,0.0045,0.0835,5.0,1,0
DE,telegram,2023-01-30 13:00:20.884176,AS58653,HUMR,ok,0.1001,0.7073,154.15,1,0
NG,web_connectivity,2023-01-30 17:22:46.113222,AS25884,ECON,ok,0.0199,0.718,61.48,1,0
IR,dns_consistency,2023-01-30 21:45:11.342268,AS51947,POLR,anomaly,0.7167,0.9041,20.86,1,1
TR,web_connectivity,2023-01-31 02:07:36.571314,AS44761,HUMR,ok,0.0303,1.4653,,1,0
EG,web_connectivity,2023-01-31 06:30:01.800360,AS8947,ANON,ok,0.0923,0.6278,74.76,1,0
IN,http_header_field_manipulation,2023-01-31 10:52:27.029405,AS41369,NEWS,ok,0.1264,0.1011,191.07,1,0
TR,http_header_field_manipulation,2023-01-31 15:14:52.258451,AS51947,HUMR,ok,0.262,1.4903,9.33,1,0
CN,http_header_field_manipulation,2023-01-31 19:37:17.487497,AS4899,SRCH,anomaly,0.7346,0.2755,189.78,1,1
BR,tcp_connect,2023-01-31 23:59:42.716543,AS48048,SRCH,ok,0.1133,1.887,247.08,1,0
MM,web_connectivity,2023-02-01 04:22:07.945589,AS13266,COMT,ok,0.0177,0.7188,143.46,1,0
DE,http_header_field_manipulation,2023-02-01 08:44:33.174634,AS25294,REL,ok,0.0721,0.9689,214.0,1,0
IR,tcp_connect,2023-02-01 13:06:58.403680,AS1588,REL,confirmed,0.5754,0.1696,165.44,1,1
BY,web_connectivity,2023-02-01 17:29:23.632726,AS57909,COMM,ok,0.1946,0.3658,202.73,1,0
RU,facebook_messenger,2023-02-01 21:51:48.861772,AS52615,ECON,failure,0.6673,0.1159,1441.95,0,0
DE,web_connectivity,2023-02-02 02:14:14.090818,AS41085,NEWS,ok,0.0799,0.1765,96.78,1,0
CN,http_header_field_manipulation,2023-02-02 06:36:39.319863,AS4899,LGBT,anomaly,0.7516,0.1601,191.7,0,1
TH,tcp_connect,2023-02-02 10:59:04.548909,AS22453,COMM,ok,0.2466,0.5119,145.95,1,0
EG,dns_consistency,2023-02-02 15:21:29.777955,AS6970,HUMR,failure,0.2204,0.2965,85.25,0,0
BR,web_connectivity,2023-02-02 19:43:55.007001,AS24775,REL,ok,0.1553,0.8097,19.76,1,0
VN,web_connectivity,2023-02-03 00:06:20.236047,AS55961,NEWS,ok,0.0866,0.2292,251.46,1,0
US,web_connectivity,2023-02-03 04:28:45.465093,AS20634,REL,ok,0.0362,0.4019,78.63,1,0
IR,dns_consistency,2023-02-03 08:51:10.694138,AS41628,COMM,failure,0.903,0.8377,2612.23,0,1
EG,web_connectivity,2023-02-03 13:13:35.923184,AS58842,ECON,confirmed,0.6088,0.0509,133.53,0,1
US,dns_consistency,2023-02-03 17:36:01.152230,AS25294,SRCH,ok,0.1487,1.136,5.0,1,0
NG,web_connectivity,2023-02-03 21:58:26.381276,AS25294,COMM,ok,0.1104,0.2465,70.74,1,0
RU,web_connectivity,2023-02-04 02:20:51.610322,AS8640,HUMR,ok,0.0876,0.4774,198.86,1,0
IR,web_connectivity,2023-02-04 06:43:16.839367,AS36237,ECON,anomaly,0.6052,0.52,66.11,0,1
BR,http_header_field_manipulation,2023-02-04 11:05:42.068413,AS13266,HUMR,ok,0.0308,0.2528,41.9,1,0
DE,tcp_connect,2023-02-04 15:28:07.297459,AS15539,POLR,ok,0.1511,1.2957,56.2,1,0
CN,web_connectivity,2023-02-04 19:50:32.526505,AS39530,SRCH,anomaly,0.7214,0.5881,79.21,0,1
CN,web_connectivity,2023-02-05 00:12:57.755551,AS51947,NEWS,confirmed,0.4274,0.2778,12.43,0,1
NG,vanilla_tor,2023-02-05 04:35:22.984596,AS48048,LGBT,ok,0.2424,0.5368,22.86,0,0
RU,web_connectivity,2023-02-05 08:57:48.213642,AS13266,COMT,anomaly,0.7345,1.903,189.99,0,1
DE,tcp_connect,2023-02-05 13:20:13.442688,AS22453,COMT,ok,0.0091,0.9959,112.55,1,0
US,dns_consistency,2023-02-05 17:42:38.671734,AS2175,ANON,ok,,1.4444,10.95,1,0
TR,web_connectivity,2023-02-05 22:05:03.900780,AS41628,COMM,ok,0.05,0.4359,165.89,1,0
BY,http_header_field_manipulation,2023-02-06 02:27:29.129825,AS11241,ANON,ok,0.1639,1.1465,119.21,1,0
RU,facebook_messenger,2023-02-06 06:49:54.358871,AS29606,LGBT,failure,,0.973,135.31,0,1
AZ,whatsapp,2023-02-06 11:12:19.587917,AS50319,SRCH,confirmed,0.6296,0.0175,117.66,0,0
EG,http_header_field_manipulation,2023-02-06 15:34:44.816963,AS52965,COMT,ok,0.0436,0.3317,37.46,1,1
DE,dns_consistency,2023-02-06 19:57:10.046009,AS6146,ECON,ok,0.1229,0.6711,176.25,1,0
UZ,web_connectivity,2023-02-07 00:19:35.275055,AS58653,NEWS,ok,0.0162,1.0113,37.65,1,0
EG,web_connectivity,2023-02-07 04:42:00.504100,AS49724,POLR,ok,0.2799,1.6701,90.45,1,0
TH,web_connectivity,2023-02-07 09:04:25.733146,AS18345,LGBT,ok,0.0089,0.0169,224.43,0,0
DE,telegram,2023-02-07 13:26:50.962192,AS19111,ANON,ok,0.0044,1.2617,104.65,1,0
DE,web_connectivity,2023-02-07 17:49:16.191238,AS13761,NEWS,ok,0.108,0.1959,67.96,1,0
US,web_connectivity,2023-02-07 22:11:41.420284,AS15539,REL,ok,0.0236,0.0437,146.36,1,0
RU,web_connectivity,2023-02-08 02:34:06.649329,AS59099,COMT,anomaly,0.7869,1.1035,64.47,1,1
KZ,web_connectivity,2023-02-08 06:56:31.878375,AS8947,HUMR,ok,0.3214,1.5763,505.28,1,0
VN,web_connectivity,2023-02-08 11:18:57.107421,AS2182,ANON,ok,0.0737,0.4578,119.9,1,0
NG,web_connectivity,2023-02-08 15:41:22.336467,AS22453,REL,ok,0.0376,0.4443,17.55,1,0
UZ,dns_consistency,2023-02-08 20:03:47.565513,AS50319,POLR,ok,0.0511,1.3524,133.03,1,0
FR,tcp_connect,2023-02-09 00:26:12.794558,AS51222,ANON,ok,0.0247,0.2297,,1,0
IR,dns_consistency,2023-02-09 04:48:38.023604,AS58842,REL,failure,0.6975,0.3033,1122.36,0,1
PK,web_connectivity,2023-02-09 09:11:03.252650,AS24775,SRCH,anomaly,0.3785,0.2443,364.27,1,0
BR,http_header_field_manipulation,2023-02-09 13:33:28.481696,AS35044,ANON,ok,0.0244,0.564,15.23,1,0
DE,http_header_field_manipulation,2023-02-09 17:55:53.710742,AS55874,COMT,ok,0.1074,2.2303,54.33,1,0
FR,web_connectivity,2023-02-09 22:18:18.939787,AS58945,ANON,ok,0.1366,0.159,321.44,1,0
AZ,web_connectivity,2023-02-10 02:40:44.168833,AS19111,REL,ok,0.0098,0.0702,115.81,1,0
VN,tcp_connect,2023-02-10 07:03:09.397879,AS34008,POLR,ok,0.04,1.1043,339.77,1,0
IN,dns_consistency,2023-02-10 11:25:34.626925,AS42135,NEWS,anomaly,0.3394,0.2525,14.84,1,1
VN,web_connectivity,2023-02-10 15:47:59.855971,AS51947,LGBT,ok,0.0149,1.2245,166.44,1,1
US,web_connectivity,2023-02-10 20:10:25.085017,AS41085,COMM,ok,0.0598,1.2122,61.45,1,0
CN,tcp_connect,2023-02-11 00:32:50.314062,AS22895,POLR,anomaly,0.7994,1.7046,118.08,0,1
DE,http_header_field_manipulation,2023-02-11 04:55:15.543108,AS40389,ECON,ok,0.1609,1.5589,109.64,1,0
CN,facebook_messenger,2023-02-11 09:17:40.772154,AS10526,COMT,confirmed,0.3946,0.1361,139.28,1,0
US,dns_consistency,2023-02-11 13:40:06.001200,AS46987,HUMR,ok,0.0375,0.9324,31.83,1,0
EG,web_connectivity,2023-02-11 18:02:31.230246,AS15631,REL,ok,0.0124,1.0974,451.13,1,0
RU,http_header_field_manipulation,2023-02-11 22:24:56.459291,AS6146,POLR,ok,0.0328,1.0579,101.57,1,1
PK,web_connectivity,2023-02-12 02:47:21.688337,AS22895,SRCH,ok,0.017,0.2215,174.96,1,1
RU,web_connectivity,2023-02-12 07:09:46.917383,AS20634,COMM,confirmed,0.6185,0.1378,5.0,0,0
US,web_connectivity,2023-02-12 11:32:12.146429,AS44761,ANON,ok,0.0202,0.3769,14.41,1,0
BR,web_connectivity,2023-02-12 15:54:37.375475,AS6146,ECON,ok,0.2964,0.9797,31.3,1,0
PK,whatsapp,2023-02-12 20:17:02.604520,AS49724,ANON,ok,0.0847,0.4629,155.96,1,0
PK,dns_consistency,2023-02-13 00:39:27.833566,AS6970,NEWS,ok,0.0552,0.5306,26.03,1,0
IN,web_connectivity,2023-02-13 05:01:53.062612,AS49724,LGBT,ok,0.0055,0.5611,197.4,1,0
RU,dns_consistency,2023-02-13 09:24:18.291658,AS4263,NEWS,anomaly,0.9215,0.2836,5.0,1,1
VN,http_header_field_manipulation,2023-02-13 13:46:43.520704,AS36237,REL,ok,0.1118,1.7945,87.62,1,0
US,whatsapp,2023-02-13 18:09:08.749749,AS54883,REL,ok,0.4029,0.7349,18.45,1,0
TR,whatsapp,2023-02-13 22:31:33.978795,AS49724,ANON,ok,0.0313,1.7785,15.5,1,0
CN,web_connectivity,2023-02-14 02:53:59.207841,AS35044,ANON,anomaly,0.5625,0.2032,173.07,0,0
IR,whatsapp,2023-02-14 07:16:24.436887,AS46987,ANON,anomaly,0.749,0.3851,258.01,1,0
TR,web_connectivity,2023-02-14 11:38:49.665933,AS45204,COMM,anomaly,0.9002,1.3507,219.16,1,1
DE,web_connectivity,2023-02-14 16:01:14.894979,AS8947,SRCH,ok,0.0616,0.0571,78.32,1,0
DE,web_connectivity,2023-02-14 20:23:40.124024,AS55961,HUMR,ok,,0.2005,360.81,1,0
BR,web_connectivity,2023-02-15 00:46:05.353070,AS57909,ECON,ok,0.2679,0.4751,179.98,1,0
IN,tcp_connect,2023-02-15 05:08:30.582116,AS41369,POLR,anomaly,0.6255,1.5142,20.6,0,1
UZ,http_header_field_manipulation,2023-02-15 09:30:55.811162,AS23227,ANON,ok,0.2613,1.1181,224.43,1,0
US,http_header_field_manipulation,2023-02-15 13:53:21.040208,AS58653,COMM,ok,0.1451,1.2856,60.41,1,0
IN,telegram,2023-02-15 18:15:46.269253,AS6970,HUMR,ok,0.0543,0.6285,5.0,1,0
RU,web_connectivity,2023-02-15 22:38:11.498299,AS49724,LGBT,confirmed,0.1663,0.037,234.04,0,0
BR,web_connectivity,2023-02-16 03:00:36.727345,AS46987,NEWS,ok,0.0368,0.5061,279.97,1,0
NG,http_header_field_manipulation,2023-02-16 07:23:01.956391,AS1588,COMM,ok,0.1844,1.3172,97.34,1,0
BR,whatsapp,2023-02-16 11:45:27.185437,AS24775,HUMR,ok,0.0398,0.6496,137.75,0,0
KZ,facebook_messenger,2023-02-16 16:07:52.414482,AS25983,COMT,ok,,0.4654,52.77,1,0
PK,web_connectivity,2023-02-16 20:30:17.643528,AS55374,ECON,confirmed,,0.706,196.27,0,0
AZ,whatsapp,2023-02-17 00:52:42.872574,AS20553,NEWS,ok,0.1239,0.3262,258.43,1,0
RU,whatsapp,2023-02-17 05:15:08.101620,AS17131,HUMR,anomaly,0.6555,0.2846,16.33,0,1
TR,web_connectivity,2023-02-17 09:37:33.330666,AS20634,COMT,confirmed,0.3351,0.0814,142.92,0,0
TR,http_header_field_manipulation,2023-02-17 13:59:58.559711,AS28647,ANON,ok,0.0314,1.3743,,0,0
VN,web_connectivity,2023-02-17 18:22:23.788757,AS42135,ANON,ok,0.1275,2.6895,178.97,1,0
DE,web_connectivity,2023-02-17 22:44:49.017803,AS50368,COMM,ok,0.029,1.6338,150.18,1,0
PK,whatsapp,2023-02-18 03:07:14.246849,AS17131,LGBT,ok,0.0622,0.1056,,1,0
IN,tcp_connect,2023-02-18 07:29:39.475895,AS36237,REL,ok,0.093,0.3769,198.41,1,0
CN,dns_consistency,2023-02-18 11:52:04.704940,AS55374,POLR,ok,0.1286,0.904,101.26,1,0
TR,tcp_connect,2023-02-18 16:14:29.933986,AS50319,COMT,ok,0.1126,1.4557,5.0,1,0
IR,web_connectivity,2023-02-18 20:36:55.163032,AS25294,POLR,ok,0.1753,0.2647,160.77,1,1
CN,web_connectivity,2023-02-19 00:59:20.392078,AS25983,COMT,confirmed,0.8265,0.1001,163.66,0,1
CN,web_connectivity,2023-02-19 05:21:45.621124,AS32635,NEWS,ok,0.0396,0.3794,195.46,1,0
RU,tcp_connect,2023-02-19 09:44:10.850170,AS32671,ECON,ok,0.1359,1.1675,323.52,1,0
EG,telegram,2023-02-19 14:06:36.079215,AS39530,ECON,ok,0.1241,1.7601,5.0,1,0
IN,dns_consistency,2023-02-19 18:29:01.308261,AS49977,COMM,confirmed,0.8892,0.1941,16.38,0,0
RU,facebook_messenger,2023-02-19 22:51:26.537307,AS8640,NEWS,ok,0.0656,0.3496,325.44,1,0
IN,tcp_connect,2023-02-20 03:13:51.766353,AS55374,HUMR,ok,0.148,0.1406,156.48,1,0
KZ,dns_consistency,2023-02-20 07:36:16.995399,AS36237,NEWS,ok,0.0484,0.7662,83.42,1,0
US,http_header_field_manipulation,2023-02-20 11:58:42.224444,AS41628,ECON,ok,0.1537,1.4197,,1,0
FR,whatsapp,2023-02-20 16:21:07.453490,AS23227,POLR,ok,0.0106,0.7845,231.98,1,1
US,web_connectivity,2023-02-20 20:43:32.682536,AS53867,REL,ok,0.0022,0.7912,15.11,1,0
ID,web_connectivity,2023-02-21 01:05:57.911582,AS42772,NEWS,ok,0.0836,0.6644,181.51,1,0
CN,web_connectivity,2023-02-21 05:28:23.140628,AS20634,POLR,anomaly,0.2855,1.135,86.29,0,0
TR,telegram,2023-02-21 09:50:48.369673,AS47656,HUMR,ok,0.42,0.1845,108.16,1,0
VN,facebook_messenger,2023-02-21 14:13:13.598719,AS1588,ANON,anomaly,0.9012,0.1724,128.33,1,0
FR,web_connectivity,2023-02-21 18:35:38.827765,AS26441,COMM,ok,0.3482,0.5573,76.93,0,0
BY,telegram,2023-02-21 22:58:04.056811,AS2175,SRCH,ok,0.0086,0.6733,43.38,1,0
BR,dns_consistency,2023-02-22 03:20:29.285857,AS51222,ECON,ok,0.1507,0.3708,130.87,1,0
RU,dns_consistency,2023-02-22 07:42:54.514902,AS20553,ANON,anomaly,0.2885,0.2712,41.91,0,0
IN,whatsapp,2023-02-22 12:05:19.743948,AS10526,POLR,ok,0.0434,0.8674,60.96,1,1
RU,dns_consistency,2023-02-22 16:27:44.972994,AS50368,COMM,anomaly,0.357,1.2473,94.83,1,1
TR,dns_consistency,2023-02-22 20:50:10.202040,AS29338,REL,confirmed,0.7174,0.1073,19.49,1,0
CN,web_connectivity,2023-02-23 01:12:35.431086,AS6146,HUMR,anomaly,0.7463,0.5328,44.41,0,0
IN,web_connectivity,2023-02-23 05:35:00.660132,AS53867,SRCH,ok,0.0202,0.9456,33.35,1,0
BY,http_header_field_manipulation,2023-02-23 09:57:25.889177,AS2175,ANON,confirmed,0.7295,0.3339,92.25,0,1
IR,web_connectivity,2023-02-23 14:19:51.118223,AS55374,REL,anomaly,0.5583,1.2511,12.34,0,1
TR,tcp_connect,2023-02-23 18:42:16.347269,AS42772,COMT,anomaly,0.8745,0.9279,18.16,1,0
CN,http_header_field_manipulation,2023-02-23 23:04:41.576315,AS50319,REL,anomaly,0.5034,0.1038,17.05,0,0
TR,dns_consistency,2023-02-24 03:27:06.805361,AS59099,COMM,ok,0.1725,1.1813,144.18,1,0
IN,http_header_field_manipulation,2023-02-24 07:49:32.034406,AS47656,ANON,ok,0.0249,0.6412,125.75,1,0
CN,vanilla_tor,2023-02-24 12:11:57.263452,AS52615,LGBT,ok,0.0421,1.4386,5.0,1,0
TH,web_connectivity,2023-02-24 16:34:22.492498,AS25294,COMT,anomaly,0.6825,0.5506,5.0,0,1
IN,dns_consistency,2023-02-24 20:56:47.721544,AS45204,HUMR,ok,,0.1756,113.4,1,0
IR,whatsapp,2023-02-25 01:19:12.950590,AS18345,NEWS,ok,0.0997,1.046,65.58,1,0
DE,web_connectivity,2023-02-25 05:41:38.179635,AS46987,POLR,ok,0.0092,0.5539,49.83,1,0
IR,web_connectivity,2023-02-25 10:04:03.408681,AS55874,COMM,confirmed,0.8033,1.2434,90.89,0,1
CN,dns_consistency,2023-02-25 14:26:28.637727,AS55961,NEWS,confirmed,0.7143,0.2835,22.69,0,0
TR,dns_consistency,2023-02-25 18:48:53.866773,AS8947,ANON,ok,0.0285,0.3529,20.09,1,0
IR,web_connectivity,2023-02-25 23:11:19.095819,AS58653,ANON,ok,0.1542,0.1744,5.0,1,0
EG,web_connectivity,2023-02-26 03:33:44.324864,AS2592,POLR,ok,0.0037,0.6799,25.46,1,0
MM,dns_consistency,2023-02-26 07:56:09.553910,AS41085,NEWS,confirmed,0.364,0.2302,6.33,1,0
IN,web_connectivity,2023-02-26 12:18:34.782956,AS22895,ANON,ok,0.0255,0.2041,167.4,1,0
VN,http_header_field_manipulation,2023-02-26 16:41:00.012002,AS8640,COMT,ok,0.0877,2.1532,224.83,1,0
IN,tcp_connect,2023-02-26 21:03:25.241048,AS36237,REL,ok,0.087,0.4266,292.88,1,0
IR,dns_consistency,2023-02-27 01:25:50.470094,AS15061,SRCH,confirmed,0.9227,0.3021,134.53,1,1
IN,web_connectivity,2023-02-27 05:48:15.699139,AS2182,NEWS,ok,0.0129,0.4408,49.42,1,0
BR,http_header_field_manipulation,2023-02-27 10:10:40.928185,AS58569,ANON,ok,0.0844,0.0952,17.09,1,0
RU,dns_consistency,2023-02-27 14:33:06.157231,AS20634,HUMR,ok,0.1477,0.7682,15.45,1,0
VN,whatsapp,2023-02-27 18:55:31.386277,AS33842,NEWS,ok,0.1476,1.6989,78.12,1,0
PK,dns_consistency,2023-02-27 23:17:56.615323,AS29338,POLR,confirmed,0.8437,0.0535,23.02,1,1
AZ,dns_consistency,2023-02-28 03:40:21.844368,AS28910,ECON,anomaly,0.5282,0.4655,28.65,0,1
IR,web_connectivity,2023-02-28 08:02:47.073414,AS22895,ANON,confirmed,0.4502,0.5704,346.28,0,1
RU,whatsapp,2023-02-28 12:25:12.302460,AS11241,REL,ok,0.0548,0.7707,55.76,0,0
RU,web_connectivity,2023-02-28 16:47:37.531506,AS13761,COMM,anomaly,0.8458,0.5991,5.46,1,1
UZ,http_header_field_manipulation,2023-02-28 21:10:02.760552,AS20634,SRCH,ok,0.0557,0.3607,26.37,1,0
PK,web_connectivity,2023-03-01 01:32:27.989597,AS2592,REL,ok,0.0283,2.4076,9.91,1,0
BY,web_connectivity,2023-03-01 05:54:53.218643,AS13266,SRCH,anomaly,0.7025,1.1106,136.73,0,1
US,web_connectivity,2023-03-01 10:17:18.447689,AS58653,LGBT,ok,0.3038,1.0856,181.8,1,0
US,web_connectivity,2023-03-01 14:39:43.676735,AS20634,COMM,ok,0.038,2.268,71.01,1,0
TR,web_connectivity,2023-03-01 19:02:08.905781,AS2592,HUMR,ok,0.427,0.3902,105.63,1,1
BY,web_connectivity,2023-03-01 23:24:34.134826,AS1588,HUMR,ok,0.2997,0.395,239.3,1,0
BY,web_connectivity,2023-03-02 03:46:59.363872,AS45204,SRCH,anomaly,0.8733,0.6027,23.52,0,1
IN,web_connectivity,2023-03-02 08:09:24.592918,AS29606,ANON,ok,0.2384,0.757,23.86,1,0
TR,tcp_connect,2023-03-02 12:31:49.821964,AS45204,SRCH,anomaly,0.9498,0.0735,43.74,0,1
EG,tcp_connect,2023-03-02 16:54:15.051010,AS42135,HUMR,anomaly,0.4704,0.9843,32.36,1,1
RU,web_connectivity,2023-03-02 21:16:40.280056,AS22895,HUMR,confirmed,0.0874,0.1255,254.89,0,1
AZ,dns_consistency,2023-03-03 01:39:05.509101,AS49724,NEWS,anomaly,0.662,1.999,5.0,0,0
DE,dns_consistency,2023-03-03 06:01:30.738147,AS20634,HUMR,ok,0.1043,0.2596,5.0,1,0
DE,web_connectivity,2023-03-03 10:23:55.967193,AS4263,ECON,ok,0.0168,0.11,345.61,1,1
VN,web_connectivity,2023-03-03 14:46:21.196239,AS28910,COMM,ok,0.1094,1.9497,65.38,1,0
NG,web_connectivity,2023-03-03 19:08:46.425285,AS2592,HUMR,ok,0.2478,0.5482,48.3,1,0
CN,whatsapp,2023-03-03 23:31:11.654330,AS2182,POLR,ok,0.0057,2.6368,85.17,1,0
TH,whatsapp,2023-03-04 03:53:36.883376,AS18345,SRCH,confirmed,0.8703,0.0567,173.9,0,1
FR,web_connectivity,2023-03-04 08:16:02.112422,AS39530,SRCH,ok,0.1481,0.0411,132.52,1,0
US,tcp_connect,2023-03-04 12:38:27.341468,AS23227,ECON,ok,0.041,0.2895,53.02,1,0
BR,dns_consistency,2023-03-04 17:00:52.570514,AS19698,REL,ok,0.0418,1.4848,172.24,1,1
BR,web_connectivity,2023-03-04 21:23:17.799559,AS6146,HUMR,ok,0.0841,0.2373,169.67,1,0
DE,whatsapp,2023-03-05 01:45:43.028605,AS26441,COMM,ok,0.0903,0.8938,260.39,0,0
TH,web_connectivity,2023-03-05 06:08:08.257651,AS33842,NEWS,ok,0.0451,0.6336,69.0,1,0
CN,http_header_field_manipulation,2023-03-05 10:30:33.486697,AS32671,SRCH,confirmed,0.8325,0.1709,5.0,0,1
IR,dns_consistency,2023-03-05 14:52:58.715743,AS19698,REL,ok,0.1897,0.025,5.0,1,0
UZ,http_header_field_manipulation,2023-03-05 19:15:23.944788,AS6146,COMT,failure,0.565,0.2068,332.87,1,1
CN,dns_consistency,2023-03-05 23:37:49.173834,AS35011,SRCH,confirmed,0.5549,0.3822,58.72,0,0
PK,http_header_field_manipulation,2023-03-06 04:00:14.402880,AS29606,SRCH,ok,0.2292,0.8938,8.12,1,0
CN,web_connectivity,2023-03-06 08:22:39.631926,AS34008,SRCH,failure,0.1301,1.1848,1517.39,0,0
ID,web_connectivity,2023-03-06 12:45:04.860972,AS41628,COMT,ok,0.0171,1.3118,224.38,1,0
MM,telegram,2023-03-06 17:07:30.090018,AS36237,HUMR,ok,0.2964,0.3069,38.59,1,0
UZ,tcp_connect,2023-03-06 21:29:55.319063,AS54883,REL,ok,0.0663,0.0605,18.2,1,0
ID,whatsapp,2023-03-07 01:52:20.548109,AS33842,ECON,anomaly,0.6426,1.9442,,1,1
RU,dns_consistency,2023-03-07 06:14:45.777155,AS59099,COMT,confirmed,0.63,0.0303,126.38,0,1
DE,dns_consistency,2023-03-07 10:37:11.006201,AS47656,HUMR,ok,0.0557,0.4749,142.58,1,0
NG,dns_consistency,2023-03-07 14:59:36.235247,AS26441,COMT,ok,0.277,0.2494,142.41,0,0
MM,web_connectivity,2023-03-07 19:22:01.464292,AS55374,NEWS,ok,0.0038,0.3052,230.92,1,0
CN,tcp_connect,2023-03-07 23:44:26.693338,AS4899,SRCH,anomaly,0.9158,0.5818,258.29,0,1
UZ,whatsapp,2023-03-08 04:06:51.922384,AS57909,SRCH,ok,0.0463,0.3311,581.13,1,0
CN,telegram,2023-03-08 08:29:17.151430,AS49977,REL,anomaly,0.8664,1.5631,71.07,1,0
AZ,dns_consistency,2023-03-08 12:51:42.380476,AS15539,REL,ok,0.2502,0.9147,322.84,1,0
US,web_connectivity,2023-03-08 17:14:07.609521,AS19698,ANON,ok,0.0341,0.253,93.2,1,0
US,whatsapp,2023-03-08 21:36:32.838567,AS19698,NEWS,ok,0.12,1.1375,62.9,1,0
IN,tcp_connect,2023-03-09 01:58:58.067613,AS45204,NEWS,ok,0.0104,0.2787,134.03,1,0
IR,whatsapp,2023-03-09 06:21:23.296659,AS18345,COMM,ok,0.1564,1.868,87.49,1,0
TR,http_header_field_manipulation,2023-03-09 10:43:48.525705,AS41369,LGBT,ok,0.2839,0.4928,5.0,1,0
IN,whatsapp,2023-03-09 15:06:13.754750,AS23883,REL,ok,,1.1945,27.82,0,0
DE,web_connectivity,2023-03-09 19:28:38.983796,AS48048,POLR,ok,0.1426,0.3027,168.29,1,0
